scenario,gtap_region,resolution,disbursement,gdp_2030,gdp_2040,gdp_2050
21,Syrian Arab Republic,individual,none,-0.072,-0.195,-0.210
21,Thailand,individual,none,-0.083,-0.240,-0.279
21,Trinidad and Tobago,individual,none,-0.145,-0.398,-0.430
21,Tunisia,individual,none,-0.104,-0.286,-0.324
21,Türkiye,individual,none,-0.083,-0.220,-0.259
21,Ukraine,individual,none,-0.093,-0.213,-0.258
21,United Arab Emirates,individual,none,-0.097,-0.287,-0.321
21,United Kingdom of Great Britain and Northern Ireland,individual,none,-0.034,-0.091,-0.104
21,United Republic of Tanzania,individual,none,-0.131,-0.328,-0.359
21,United States of America,individual,none,-0.018,-0.051,-0.058
21,Uruguay,individual,none,-0.091,-0.218,-0.251
21,Uzbekistan,individual,none,-0.014,-0.055,-0.061
21,Venezuela (Bolivarian Republic of),individual,none,-0.031,-0.077,-0.086
21,Viet Nam,individual,none,-0.242,-0.824,-0.981
21,Zimbabwe,individual,none,-0.069,-0.165,-0.177
22,Albania,individual,none,-0.053,-0.153,-0.161
22,Algeria,individual,none,-0.108,-0.293,-0.353
22,Argentina,individual,none,-0.036,-0.095,-0.115
22,Armenia,individual,none,-0.036,-0.099,-0.128
22,Australia,individual,none,-0.085,-0.239,-0.297
22,Bahrain,individual,none,-0.103,-0.313,-0.371
22,Bangladesh,individual,none,-0.078,-0.265,-0.308
22,Belgium,individual,none,-0.062,-0.169,-0.199
22,Bolivia (Plurinational State of),individual,none,-0.018,-0.048,-0.057
22,Botswana,individual,none,-0.022,-0.048,-0.051
22,Brazil,individual,none,-0.048,-0.118,-0.141
22,Brunei Darussalam,individual,none,-0.065,-0.226,-0.253
22,Bulgaria,individual,none,-0.088,-0.239,-0.286
22,Cameroon,individual,none,-0.075,-0.201,-0.233
22,Canada,individual,none,-0.034,-0.097,-0.119
22,Chile,individual,none,-0.170,-0.422,-0.508
22,China,individual,none,-0.051,-0.150,-0.182
22,Colombia,individual,none,-0.089,-0.220,-0.257
22,Costa Rica,individual,none,-0.161,-0.383,-0.431
22,Croatia,individual,none,-0.026,-0.079,-0.090
22,Cyprus,individual,none,-0.070,-0.201,-0.228
22,Côte d'Ivoire,individual,none,-0.103,-0.278,-0.320
22,Denmark,individual,none,-0.028,-0.082,-0.096
22,Dominican Republic,individual,none,-0.086,-0.241,-0.273
22,Ecuador,individual,none,-0.125,-0.285,-0.323
22,Egypt,individual,none,-0.102,-0.340,-0.415
22,El Salvador,individual,none,-0.108,-0.278,-0.312
22,Equatorial Guinea,individual,none,0.002,0.011,0.024
22,Estonia,individual,none,-0.047,-0.127,-0.150
22,Eswatini,individual,none,-0.022,-0.050,-0.055
22,Finland,individual,none,-0.044,-0.122,-0.147
22,France,individual,none,-0.015,-0.043,-0.051
22,Gabon,individual,none,-0.120,-0.329,-0.413
22,Georgia,individual,none,-0.063,-0.184,-0.218
22,Germany,individual,none,-0.025,-0.067,-0.082
22,Ghana,individual,none,-0.093,-0.260,-0.310
22,Greece,individual,none,-0.043,-0.117,-0.136
22,Guatemala,individual,none,-0.134,-0.307,-0.346
22,Honduras,individual,none,-0.184,-0.466,-0.527
22,India,individual,none,-0.041,-0.126,-0.154
22,Indonesia,individual,none,-0.073,-0.226,-0.290
22,Iran (Islamic Republic of),individual,none,-0.024,-0.082,-0.095
22,Iraq,individual,none,-0.046,-0.146,-0.182
22,Ireland,individual,none,-0.025,-0.077,-0.089
22,Israel,individual,none,-0.050,-0.146,-0.169
22,Italy,individual,none,-0.027,-0.078,-0.089
22,Japan,individual,none,-0.039,-0.112,-0.136
22,Jordan,individual,none,-0.024,-0.071,-0.084
22,Kenya,individual,none,-0.185,-0.440,-0.505
22,Kuwait,individual,none,-0.045,-0.155,-0.174
22,Latvia,individual,none,-0.054,-0.144,-0.173
22,Lithuania,individual,none,-0.052,-0.142,-0.161
22,Madagascar,individual,none,-0.136,-0.364,-0.425
22,Malaysia,individual,none,-0.093,-0.309,-0.368
22,Malta,individual,none,-0.186,-0.574,-0.635
22,Mauritius,individual,none,-0.100,-0.235,-0.266
22,Mexico,individual,none,-0.031,-0.095,-0.120
22,Morocco,individual,none,-0.098,-0.282,-0.330
22,Namibia,individual,none,-0.030,-0.064,-0.070
22,Netherlands (Kingdom of the),individual,none,-0.030,-0.086,-0.101
22,New Zealand,individual,none,-0.113,-0.278,-0.318
22,Nicaragua,individual,none,-0.162,-0.404,-0.457
22,Nigeria,individual,none,-0.058,-0.160,-0.188
22,Norway,individual,none,-0.020,-0.062,-0.077
22,Oman,individual,none,-0.123,-0.385,-0.472
22,Pakistan,individual,none,-0.053,-0.160,-0.189
22,Panama,individual,none,-0.075,-0.255,-0.286
22,Paraguay,individual,none,-0.074,-0.193,-0.228
22,Peru,individual,none,-0.142,-0.358,-0.434
22,Philippines,individual,none,-0.072,-0.239,-0.289
22,Poland,individual,none,-0.024,-0.068,-0.081
22,Portugal,individual,none,-0.050,-0.142,-0.165
22,Qatar,individual,none,-0.121,-0.406,-0.460
22,Republic of Korea,individual,none,-0.081,-0.250,-0.298
22,Rest of American SIDS,aggregate,none,-0.148,-0.432,-0.490
22,Rest of Asia,aggregate,none,-0.029,-0.098,-0.115
22,Rest of Asian SIDS and LDCs,aggregate,none,-0.115,-0.369,-0.439
22,Rest of Caribbean,aggregate,none,-0.075,-0.203,-0.233
22,Rest of Europe,aggregate,none,-0.020,-0.059,-0.068
22,Rest of LDC in Africa,aggregate,none,-0.105,-0.293,-0.350
22,Rest of Middle East and North Africa,aggregate,none,-0.073,-0.199,-0.218
22,Rest of Oceania,aggregate,none,-0.173,-0.465,-0.542
22,Rest of Western Africa,aggregate,none,-0.257,-0.779,-0.951
22,Rest of developing economies in Europe and Central Asia,aggregate,none,-0.028,-0.083,-0.098
