country,name,population,gdp_usd,population_year,gdp_year,income_group
KNA,St. Kitts and Nevis,46922,1183514815,2025,2025,High income
KOR,"Korea, Rep.",51684564,1872374961553,2025,2025,High income
KWT,Kuwait,4865298,157209026926,2025,2025,High income
LAO,Lao PDR,7873046,18302970219,2025,2025,Lower middle income
LBN,Lebanon,5849421,25971643441,2025,2024,Lower middle income
LBR,Liberia,5731206,5245938900,2025,2025,Low income
LBY,Libya,7458555,48098909614,2025,2025,Upper middle income
LCA,St. Lucia,180149,2656444444,2025,2025,Upper middle income
LIE,Liechtenstein,41024,8905764270,2025,2024,High income
LKA,Sri Lanka,21756000,108825231671,2025,2025,Upper middle income
LSO,Lesotho,2363325,2573572920,2025,2025,Lower middle income
LTU,Lithuania,2888774,95210150818,2025,2025,High income
LUX,Luxembourg,686970,101157829491,2025,2025,High income
LVA,Latvia,1847785,48618869160,2025,2025,High income
MAC,"Macao SAR, China",685900,52061007670,2025,2025,High income
MAF,St. Martin (French part),24941,649206263,2025,2021,High income
MAR,Morocco,38430770,182374250612,2025,2025,Lower middle income
MCO,Monaco,38341,11125788838,2025,2024,High income
MDA,Moldova,2360527,20351796275,2025,2025,Upper middle income
MDG,Madagascar,32740678,19620352036,2025,2025,Low income
MDV,Maldives,529676,7741066861,2025,2025,Upper middle income
MEX,Mexico,131946900,1832641364776,2025,2025,Upper middle income
MHL,Marshall Islands,36282,308000000,2025,2025,Upper middle income
MKD,North Macedonia,1820909,19101199817,2025,2025,Upper middle income
MLI,Mali,25198821,30069148581,2025,2025,Low income
MLT,Malta,579704,27771821561,2025,2025,High income
MMR,Myanmar,54850648,81665773810,2025,2025,Lower middle income
MNE,Montenegro,623129,9232801465,2025,2025,Upper middle income
MNG,Mongolia,3568978,25369107325,2025,2025,Upper middle income
MNP,Northern Mariana Islands,43541,1096000000,2025,2022,High income
MOZ,Mozambique,35631653,22337997046,2025,2025,Low income
MRT,Mauritania,5315065,11679910946,2025,2025,Lower middle income
MUS,Mauritius,1243741,16157804492,2025,2025,Upper middle income
MWI,Malawi,22216120,14918276698,2025,2025,Low income
MYS,Malaysia,35977838,472193128645,2025,2025,Upper middle income
NAM,Namibia,3092816,15080340654,2025,2025,Lower middle income
NCL,New Caledonia,295333,8548919387,2025,2024,High income
NER,Niger,27917831,21646191388,2025,2025,Low income
NGA,Nigeria,237527782,290794361542,2025,2025,Lower middle income
NIC,Nicaragua,7007502,22237167113,2025,2025,Lower middle income
NLD,Netherlands,18087633,1332767651100,2025,2025,High income
NOR,Norway,5610870,530755719439,2025,2025,High income
NPL,Nepal,29618118,45489810283,2025,2025,Lower middle income
NRU,Naoero,12025,176040044,2025,2025,High income
NZL,New Zealand,5324700,264057413740,2025,2025,High income
OMN,Oman,5494691,109604780696,2025,2025,High income
PAK,Pakistan,255219554,407307214476,2025,2025,Lower middle income
PAN,Panama,4571189,90462600000,2025,2025,High income
PER,Peru,34576665,334854659182,2025,2025,Upper middle income
PHL,Philippines,116786962,487086123720,2025,2025,Upper middle income
PLW,Palau,17663,345000000,2025,2025,High income
PNG,Papua New Guinea,10762817,32498658654,2025,2025,Lower middle income
POL,Poland,36435861,1035491784197,2025,2025,High income
PRI,Puerto Rico (US),3184835,129368484000,2025,2025,High income
PRK,"Korea, Dem. People's Rep.",26571036,,2025,,Low income
PRT,Portugal,10804871,346639825142,2025,2025,High income
PRY,Paraguay,7013078,49278227554,2025,2025,Upper middle income
PSE,West Bank and Gaza,5413596,17167100000,2025,2025,Lower middle income
PYF,French Polynesia,282465,6323716355,2025,2024,High income
QAT,Qatar,2972215,215559615385,2025,2025,High income
ROU,Romania,19020271,428677977855,2025,2025,High income
RUS,Russian Federation,143513328,2561310169359,2025,2025,High income
RWA,Rwanda,14569341,16372132990,2025,2025,Low income
SAU,Saudi Arabia,36973555,1276942933333,2025,2025,High income
SDN,Sudan,51662147,60162634574,2025,2025,Low income
SEN,Senegal,18931966,37006536238,2025,2025,Lower middle income
SGP,Singapore,6111175,603869516999,2025,2025,High income
SLB,Solomon Islands,838645,1749572443,2025,2025,Lower middle income
SLE,Sierra Leone,8819794,7464157904,2025,2025,Low income
SLV,El Salvador,6365503,36708110000,2025,2025,Upper middle income
SMR,San Marino,34109,2027243194,2025,2023,High income
SOM,"Somalia, Fed. Rep.",19654739,12995200000,2025,2025,Low income
SRB,Serbia,6549143,99953324473,2025,2025,Upper middle income
SSD,South Sudan,12188788,11997800760,2025,2015,Low income
STP,Sao Tome and Principe,240254,981293587,2025,2025,Lower middle income
SUR,Suriname,639850,4523657797,2025,2025,Upper middle income
SVK,Slovak Republic,5413813,154530066507,2025,2025,High income
SVN,Slovenia,2130986,79648204979,2025,2025,High income
SWE,Sweden,10596620,668998664082,2025,2025,High income
SWZ,Eswatini,1256174,5160679613,2025,2025,Lower middle income
SXM,Sint Maarten (Dutch part),43923,1887728480,2025,2025,High income
SYC,Seychelles,122730,2387022853,2025,2025,High income
SYR,Syrian Arab Republic,25620427,23737634644,2025,2022,Low income
TCA,Turks and Caicos Islands,46855,1745378000,2025,2024,High income
TCD,Chad,21003705,21472835225,2025,2025,Low income
TGO,Togo,8591626,11889949067,2025,2025,Lower middle income
THA,Thailand,71619863,577009981112,2025,2025,Upper middle income
TJK,Tajikistan,10786734,17660626562,2025,2025,Lower middle income
TKM,Turkmenistan,7618847,49828621356,2025,2025,Upper middle income
TLS,Timor-Leste,1418517,1902180258,2025,2025,Lower middle income
TON,Tonga,103742,679218219,2025,2025,Upper middle income
TTO,Trinidad and Tobago,1367764,25942749718,2025,2025,High income
TUN,Tunisia,12348573,57502836548,2025,2025,Lower middle income
TUR,Turkiye,85878556,1597293229287,2025,2025,Upper middle income
TUV,Tuvalu,9492,57345435,2025,2025,Upper middle income
TWN,Taiwan,23299000,801495000000,2025,2024,
TZA,Tanzania,70545865,90143496090,2025,2025,Lower middle income
UGA,Uganda,51384894,61985829288,2025,2025,Low income
UKR,Ukraine,38980376,214233312784,2025,2025,Upper middle income
URY,Uruguay,3384688,85347696278,2025,2025,High income
USA,United States,341784857,30769700000000,2025,2025,High income
UZB,Uzbekistan,37053428,147038081129,2025,2025,Lower middle income
VCT,St. Vincent and the Grenadines,99924,1255222222,2025,2025,Upper middle income
VEN,"Venezuela, RB",28516896,99661244156,2025,2025,Lower middle income
VGB,British Virgin Islands,39732,,2025,,High income
VIR,Virgin Islands (U.S.),103792,4672000000,2025,2022,High income
VNM,Viet Nam,101598527,514697215165,2025,2025,Upper middle income
VUT,Vanuatu,335169,1353658841,2025,2025,Lower middle income
WSM,Samoa,219306,1287936622,2025,2025,Upper middle income
XKX,Kosovo,1576876,12456403307,2025,2025,Upper middle income
YEM,"Yemen, Rep.",41773878,21606160663,2025,2018,Low income
ZAF,South Africa,64747319,427184325997,2025,2025,Upper middle income
ZMB,Zambia,21913874,28879806220,2025,2025,Lower middle income
ZWE,Zimbabwe,16950795,51215643906,2025,2025,Lower middle income
