year,voyages,vessels,median_distance_nm,median_speed_kn,total_sea_hours
2018,816060,18289,506.5309296459851,12.197071761125194,93389989.63111112
2019,827459,18990,509.4667045339572,12.05798361848286,96691562.68527777
2020,813426,19384,517.6281834938243,11.891255433186473,100117400.20777778
2021,815225,19856,530.139516164406,11.894374760632669,100553652.7175
2022,797267,19606,526.3621389516139,11.752716514208648,99819708.14277777
2023,803213,19313,523.4754058635779,11.589219009309822,100735607.08861111
2024,735882,19197,521.3891107517771,11.366916679587161,98370649.97805555
2025,736947,19141,526.4030347057394,11.265124105060767,100494466.3263889
2026,390458,18565,519.4744204371447,11.133281294176047,52678423.92666667
