year,voyages,vessels,median_distance_nm,median_speed_kn,total_sea_hours
2018,829638,18289,406.4616735250804,10.166487943694891,93468100.47611111
2019,841320,18989,407.1615834506725,10.046581653899688,96777113.185
2020,825727,19385,411.2614636885384,9.872777692549692,100186360.14694445
2021,827237,19857,418.0665501838029,9.821301386743874,100632871.46277778
2022,808727,19609,416.33447345220645,9.701925934955153,99868364.47166666
2023,813742,19313,415.761661470693,9.549186367647454,100778141.10555555
2024,744858,19197,413.39821963104833,9.364004027064226,98407524.35111111
2025,744863,19140,419.2487520447965,9.279784502045704,100533423.75361112
2026,394660,18566,411.9056865339471,9.194420247813937,52686433.692777775
