log_gdp,category,fit,lo,hi
19.669772,ldc,0.0007,0.0000,0.0029
19.828425,ldc,0.0008,0.0001,0.0033
19.987077,ldc,0.0009,0.0001,0.0037
20.145730,ldc,0.0011,0.0001,0.0042
20.304383,ldc,0.0012,0.0001,0.0047
20.463035,ldc,0.0014,0.0001,0.0054
20.621688,ldc,0.0017,0.0001,0.0061
20.780340,ldc,0.0019,0.0002,0.0070
20.938993,ldc,0.0022,0.0002,0.0079
21.097646,ldc,0.0025,0.0002,0.0091
21.256298,ldc,0.0029,0.0003,0.0104
21.414951,ldc,0.0034,0.0004,0.0116
21.573604,ldc,0.0039,0.0005,0.0129
21.732256,ldc,0.0045,0.0006,0.0144
21.890909,ldc,0.0052,0.0007,0.0162
22.049561,ldc,0.0060,0.0008,0.0183
22.208214,ldc,0.0069,0.0010,0.0207
22.366867,ldc,0.0080,0.0012,0.0239
22.525519,ldc,0.0092,0.0015,0.0267
22.684172,ldc,0.0106,0.0018,0.0299
22.842825,ldc,0.0122,0.0020,0.0335
23.001477,ldc,0.0140,0.0023,0.0383
23.160130,ldc,0.0162,0.0026,0.0439
23.318782,ldc,0.0186,0.0030,0.0490
23.477435,ldc,0.0214,0.0036,0.0553
23.636088,ldc,0.0246,0.0044,0.0641
23.794740,ldc,0.0283,0.0053,0.0734
23.953393,ldc,0.0325,0.0060,0.0842
24.112046,ldc,0.0374,0.0067,0.0945
24.270698,ldc,0.0429,0.0075,0.1108
24.429351,ldc,0.0492,0.0090,0.1270
24.588003,ldc,0.0563,0.0103,0.1414
24.746656,ldc,0.0644,0.0121,0.1638
24.905309,ldc,0.0736,0.0137,0.1842
25.063961,ldc,0.0840,0.0154,0.2019
25.222614,ldc,0.0957,0.0178,0.2324
25.381267,ldc,0.1089,0.0207,0.2638
25.539919,ldc,0.1236,0.0240,0.2933
25.698572,ldc,0.1399,0.0278,0.3264
25.857224,ldc,0.1581,0.0322,0.3588
26.015877,ldc,0.1781,0.0372,0.3946
26.174530,ldc,0.2001,0.0430,0.4388
26.333182,ldc,0.2240,0.0490,0.4838
26.491835,ldc,0.2499,0.0547,0.5299
26.650488,ldc,0.2777,0.0618,0.5739
26.809140,ldc,0.3073,0.0702,0.6174
26.967793,ldc,0.3387,0.0796,0.6556
27.126445,ldc,0.3715,0.0872,0.6969
27.285098,ldc,0.4055,0.0971,0.7340
27.443751,ldc,0.4405,0.1110,0.7695
27.602403,ldc,0.4760,0.1250,0.8017
27.761056,ldc,0.5118,0.1375,0.8273
27.919709,ldc,0.5475,0.1511,0.8546
28.078361,ldc,0.5827,0.1681,0.8776
28.237014,ldc,0.6171,0.1909,0.8956
28.395666,ldc,0.6504,0.2084,0.9104
28.554319,ldc,0.6822,0.2246,0.9233
28.712972,ldc,0.7125,0.2416,0.9345
28.871624,ldc,0.7409,0.2625,0.9446
29.030277,ldc,0.7675,0.2927,0.9533
