iso3,share_pct,resolved,sids,ldc,population,t_per_capita,t_per_musd,net_all,net_developing,net_sids_ldc
CHN,13.150271237956062,True,False,False,1406585000.0,0.3339956714828592,24.09438673412539,13.768149315124306,23.926717536935104,-33.399567148285925
MYS,8.800501067897425,True,False,False,35977838.0,8.738652056513189,665.8246148769482,-826.6974891879086,-816.5389209660977,-873.8652056513189
USA,8.68855774886492,True,False,False,341784857.0,0.9081696505159592,10.087801770356457,-43.64924858818569,-90.81696505159591,-90.81696505159591
AUS,4.880130815608793,True,False,False,27614411.0,6.313465169526432,96.93677323034224,-584.1788004892329,-631.3465169526431,-631.3465169526431
BRA,4.585704785811712,True,False,False,212812405.0,0.7698059481530034,71.8552618353754,-29.812878351890117,-19.65431013007932,-76.98059481530035
JPN,4.485026052482679,True,False,False,123366734.0,1.2987902275274985,36.12663356950247,-82.71130628933959,-129.87902275274982,-129.87902275274982
KOR,4.003372798072741,True,False,False,51684564.0,2.767179211895207,76.38451379313588,-229.5502047261105,-276.7179211895207,-276.7179211895207
IND,2.9098534536948497,True,False,False,1463865525.0,0.0710136841345317,26.277229623667395,40.06634804995706,50.22491627176785,-7.101368413453171
ESP,2.5755672907869664,True,False,False,49355143.0,1.864286247862218,48.26350263823083,-139.26090832281156,-186.4286247862218,-186.4286247862218
ARE,2.5310371732099144,True,False,False,11513149.0,7.853739786951528,163.7102966898457,-738.2062622317425,-785.3739786951527,-785.3739786951527
SGP,2.356796954460127,True,True,False,6111175.0,13.77747264534219,139.4283765337645,-1330.5795480708089,-1377.747264534219,-934.3912930318246
EGY,2.343156672591995,True,False,False,118365995.0,0.707206892209376,229.1805238060037,-23.552972757527375,-13.394404535716577,-70.7206892209376
IDN,1.9335266670513689,True,False,False,285721236.0,0.2417573884166361,47.78167203097357,22.99197762174661,33.15054584355742,-24.17573884166362
TWN,1.6204382943557087,False,False,False,23299000.0,2.4846620460601945,72.22770074817244,-201.2984881426092,-191.1399199207984,-248.4662046060194
SAU,1.4106560593990844,True,False,False,36973555.0,1.363019403333971,39.465877103604,-89.1342238699869,-136.30194033339714,-136.30194033339714
CAN,1.3565412033439057,True,False,False,41651653.0,1.163517332966584,20.88987670425554,-69.18401683324818,-116.35173329665842,-116.35173329665842
ZAF,1.341862574786651,True,False,False,64747319.0,0.740386275476372,112.21859849283702,-26.87091108422697,-16.712342862416172,-74.0386275476372
NLD,1.3360007415119692,True,False,False,18087633.0,2.638742859800773,35.81165283390096,-216.70656951666703,-263.8742859800773,-263.8742859800773
RUS,1.2631257036956811,True,False,False,143513328.0,0.3144317890144057,17.617996059315356,15.724537561969672,-31.443178901440564,-31.443178901440564
MEX,1.2231434918126645,True,False,False,131946900.0,0.3311694959997775,23.843611309665064,14.050766863432479,24.209335085243275,-33.11694959997775
QAT,1.1981203898343895,True,False,False,2972215.0,14.40098994080878,198.56612863440583,-1392.9312776174675,-1440.0989940808777,-1440.0989940808777
TUR,1.189672147433615,True,False,False,85878556.0,0.4948968278654905,26.608154449537427,-2.3219663231388155,7.836601898671986,-49.489682786549054
GBR,1.0363295010702285,True,False,False,69487000.0,0.5328026899798421,9.249731612754257,-6.112552534573979,-53.28026899798421,-53.28026899798421
BEL,0.9959800768088196,True,False,False,11941781.0,2.97957044778814,49.04620624540761,-250.7893283154037,-297.95704477881395,-297.95704477881395
VNM,0.920473137137916,True,False,False,101598527.0,0.3236650580229988,63.88978251215988,14.801210661110352,24.959778882921146,-32.36650580229988
ITA,0.8882296318705931,True,False,False,58915656.0,0.5386003722030321,12.43632606326771,-6.6923207568929755,-53.860037220303205,-53.860037220303205
THA,0.8484394893343461,True,False,False,71619863.0,0.4232134851592709,52.53027299189151,4.8463679474831425,15.004936169293938,-42.32134851592709
COL,0.8231528499899177,True,False,False,53425635.0,0.5504310225309491,64.29051551887095,-7.875385789684677,2.2831824321261243,-55.04310225309491
FRA,0.7857355728619625,True,False,False,68720337.0,0.4084728960340575,8.33860982623662,6.320426860004478,-40.847289603405756,-40.847289603405756
LKA,0.713948701457308,True,False,False,21756000.0,1.1723575034672593,234.37404592477924,-70.06803388331569,-59.909465661504896,-117.23575034672592
CHL,0.7065561455537871,True,False,False,19859921.0,1.270987475911167,70.63163936788752,-79.93103112770648,-127.0987475911167,-127.0987475911167
DEU,0.6709144867183886,True,False,False,83491249.0,0.2870769483495207,4.745353142878723,18.46002162845816,-28.707694834952065,-28.707694834952065
